2025-06-03 15:10:58,970 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,049 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,140 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,217 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,300 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,387 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,482 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,554 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,632 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
2025-06-03 15:10:59,711 - ERROR - Error in API response: {'message': 'request limit reached', 'code': 429, 's': 'error'}
